account_age,is_blue_verified,is_verified,profile_description_sentiment,following_count,followers_count,is_default_profile_image,tweet_freq,is_bot,identical_tweet_freq,,,,,,,,,,,,,,,,,,,,,is_spam_account
3059,0,0,0,416,8743,0,0.7,0,0,,,,,,,,,,,,,,,,,,,,,0
1272,0,0,0,2950,2398,0,7.141,1,0.044,,,,,,,,,,,,,,,,,,,,,0
4874,1,0,0,2742,87456,0,3.763,0,0,,,,,,,,,,,,,,,,,,,,,0
2052,0,0,0,19,3,0,0,1,0,,,,,,,,,,,,,,,,,,,,,1
6637,0,0,0,4578,3636,0,4.022,0,0,,,,,,,,,,,,,,,,,,,,,0
2264,0,0,0.753,414,1017,0,0.528,1,0.001,,,,,,,,,,,,,,,,,,,,,0
2218,0,0,0,337,2135,0,0.045,1,0.002,,,,,,,,,,,,,,,,,,,,,0
1804,0,0,0,366,37,0,0.006,1,0,,,,,,,,,,,,,,,,,,,,,1
4695,0,0,0,2047,3732,0,1.677,0,0,,,,,,,,,,,,,,,,,,,,,0
1320,0,0,0.694,2475,1039,0,0.798,1,0.001,,,,,,,,,,,,,,,,,,,,,1
5434,0,0,0,130,28,1,0.01,1,0,,,,,,,,,,,,,,,,,,,,,1
4453,0,0,0,658,222,0,0.155,1,0.001,,,,,,,,,,,,,,,,,,,,,1
2346,0,0,0,127,1444,0,0.63,0,0,,,,,,,,,,,,,,,,,,,,,0
5517,1,0,0.711,475,1379859,0,0.698,0,0,,,,,,,,,,,,,,,,,,,,,0
4877,0,0,-0.629,461,496,0,2.895,0,0,,,,,,,,,,,,,,,,,,,,,0
1204,0,0,,8,2,1,0.006,1,0.267,,,,,,,,,,,,,,,,,,,,,1
1984,0,0,0,1182,531,0,0.977,1,0,,,,,,,,,,,,,,,,,,,,,1
5307,0,0,0,513,427,0,3.032,0,0,,,,,,,,,,,,,,,,,,,,,0
5299,0,0,0,448,2000,0,1.011,0,0,,,,,,,,,,,,,,,,,,,,,0
4662,0,0,0,2032,4680,0,1.609,0,0,,,,,,,,,,,,,,,,,,,,,0
5299,1,0,-0.843,919,5715,0,3.411,0,0,,,,,,,,,,,,,,,,,,,,,0
1308,0,0,0.547,954,466,0,0.794,1,0.003,,,,,,,,,,,,,,,,,,,,,1
3782,0,0,0,520,746,0,0.355,0,0,,,,,,,,,,,,,,,,,,,,,0
4282,0,0,0,7316,6622,0,27.259,0,0,,,,,,,,,,,,,,,,,,,,,1
5341,0,0,0.671,4298,4903,0,3.672,0,0,,,,,,,,,,,,,,,,,,,,,0
5642,0,0,0.681,1843,2575,0,0.866,0,0,,,,,,,,,,,,,,,,,,,,,0
4489,0,0,0,508,1296,0,0.037,0,0,,,,,,,,,,,,,,,,,,,,,0
1251,0,0,0,50,12,0,0.018,1,0,,,,,,,,,,,,,,,,,,,,,1
4457,0,0,0,981,1704,0,0.241,0,0,,,,,,,,,,,,,,,,,,,,,0
2868,0,0,0.69,307,459,0,0.231,0,0,,,,,,,,,,,,,,,,,,,,,0
1796,0,0,0,208,92,0,0.156,1,0,,,,,,,,,,,,,,,,,,,,,1
4009,0,0,0.579,333,3701,0,0.709,0,0,,,,,,,,,,,,,,,,,,,,,0
4090,0,0,,675,31,0,0.066,1,0,,,,,,,,,,,,,,,,,,,,,1
